Employee ID,Last Name,First Name,Birthday,Address,Phone Number,SSS #,Philhealth #,TIN #,Pag-ibig #,Status,Position,Immediate Supervisor,Basic Salary,Rice Subsidy,Phone Allowance,Clothing Allowance
1,Garcia,Manuel III,10/11/1983,Makati City,966-860-270,44-4506057-3,820126853951,442-605-657-000,820126853951,Regular,Chief Executive Officer,N/A,90000,1500,2000,1000
2,Lim,Antonio,6/19/1988,Dasmarinas Cavite,171-867-411,52-2061274-9,331735646338,683-102-776-000,331735646338,Regular,Chief Operating Officer,Garcia Manuel III,60000,1500,2000,1000
3,Aquino,Bianca Sofia,8/4/1989,Quezon City,966-889-370,30-8870406-2,177451189665,971-711-280-000,177451189665,Regular,Chief Finance Officer,Garcia Manuel III,60000,1500,2000,1000
4,Reyes,Isabella,6/16/1994,Manila,786-868-477,40-2511815-0,341911411254,876-809-437-000,341911411254,Regular,Chief Marketing Officer,Garcia Manuel III,60000,1500,2000,1000
5,Hernandez,Eduard,9/23/1989,Misamis Occidental,088-861-012,50-5577638-1,957436191812,031-702-374-000,957436191812,Regular,IT Operations and Systems,Lim Antonio,52670,1500,1000,1000
6,Villanueva,Andrea Mae,2/14/1988,Dinagat Islands,918-621-603,49-1632020-8,382189453145,317-674-022-000,382189453145,Regular,HR Manager,Lim Antonio,52670,1500,1000,1000
7,San Jose,Brad ,3/15/1996,Tawi Tawi,797-009-261,40-2400714-1,239192926939,672-474-690-000,239192926939,Regular,HR Team Leader,Villanueva Andrea Mae,42975,1500,800,800
8,Romualdez,Alice,5/14/1992,Surigao del Norte,983-606-799,55-4476527-2,545652640232,888-572-294-000,545652640232,Regular,HR Rank and File,San Jose Brad,22500,1500,500,500
9,Atienza,Rosie ,9/24/1948,Davao del Norte,266-036-427,41-0644692-3,708988234853,604-997-793-000,708988234853,Regular,HR Rank and File,San Jose Brad,22500,1500,500,500
10,Alvaro,Roderick,3/30/1988,Quezon City,053-381-386,64-7605054-4,578114853194,525-420-419-000,578114853194,Regular,Accounting Head,Aquino Bianca Sofia,52670,1500,1000,1000
11,Salcedo,Anthony,9/14/1993,Masbate,070-766-300,26-9647608-3,126445315651,210-805-911-000,126445315651,Regular,Payroll Manager,Alvaro Roderick,50825,1500,1000,1000
12,Lopez,Josie ,1/14/1987,Mindoro,478-355-427,44-8563448-3,431709011012,218-489-737-000,431709011012,Regular,Payroll Team Leader,Salcedo Anthony,38475,1500,800,800
13,Farala,Martha,1/11/1942,Zamboanga del Norte,329-034-366,45-5656375-0,233693897247,210-835-851-000,233693897247,Regular,Payroll Rank and File,Salcedo Anthony,24000,1500,500,500
14,Martinez,Leila,7/11/1970,Quirino,877-110-749,27-2090996-4,515741057496,275-792-513-000,515741057496,Regular,Payroll Rank and File,Salcedo Anthony,24000,1500,500,500
15,Romualdez,Fredrick ,3/10/1985,Zambales,023-079-009,26-8768374-1,308366860059,598-065-761-000,308366860059,Regular,Account Manager,Lim Antonio,53500,1500,1000,1000
16,Mata,Christian,10/21/1987, Sulu,783-776-744,49-2959312-6,824187961962,103-100-522-000,824187961962,Regular,Account Team Leader,Romualdez Fredrick,42975,1500,800,800
17,De Leon,Selena ,2/20/1975,Maguindanao,975-432-139,27-2090208-8,587272469938,482-259-498-000,587272469938,Regular,Account Team Leader,Romualdez Fredrick,41850,1500,800,800
18,San Jose,Allison ,6/24/1986,La Union,179-075-129,45-3251383-0,745148459521,121-203-336-000,745148459521,Regular,Account Rank and File,Mata Christian,22500,1500,500,500
19,Rosario,Cydney ,10/6/1996,Quezon,868-819-912,49-1629900-2,579253435499,122-244-511-000,579253435499,Regular,Account Rank and File,Mata Christian,22500,1500,500,500
