PAYSLIP_NO,EMPLOYEE_ID,EMPLOYEE_NAME,PERIOD_START_DATE,PERIOD_END_DATE,EMPLOYEE_POSITION_DEPARTMENT,Monthly_Rate,Hourly_Rate,Days_Worked,Overtime,GROSS_INCOME,Rice_Subsidy,Phone_Allowance,Clothing_Allowance,TOTAL,SSS,Philhealth,Pagibig,Withholding_Tax,TOTAL_DEDUCTIONS,GrossIncome,Benefits,Deductions,TAKE_HOME_PAY
1,10001,"Garcia, Manuel III",2024-05-15,2024-05-15,"Chief Executive Officer/Executive",90000.00,500.00,20,0.00,90000.00,1500.00,2000.00,1000.00,4500.00,1125.00,1800.00,1800.00,15875.40,20600.40,90000.00,4500.00,20600.40,73899.60
2,10002,"Lim, Antonio",2024-05-15,2024-05-15,"Chief Operating Officer/Executive",60000.00,333.33,20,0.00,59999.40,1500.00,2000.00,1000.00,4500.00,1125.00,1800.00,1200.00,7835.50,11960.50,59999.40,4500.00,11960.50,52538.90
3,10003,"Aquino, Bianca Sofia",2024-05-15,2024-05-15,"Chief Finance Officer/Executive",60000.00,333.33,20,0.00,59999.40,1500.00,2000.00,1000.00,4500.00,1125.00,1800.00,1200.00,7835.50,11960.50,59999.40,4500.00,11960.50,52538.90
4,10004,"Reyes, Isabella",2024-05-15,2024-05-15,"Chief Marketing Officer/Executive",60000.00,333.33,20,0.00,59999.40,1500.00,2000.00,1000.00,4500.00,1125.00,1800.00,1200.00,7835.50,11960.50,59999.40,4500.00,11960.50,52538.90
5,10005,"Hernandez, Eduard",2024-05-15,2024-05-15,"IT Operations and Systems/IT",52670.00,292.61,20,0.00,52669.80,1500.00,1000.00,1000.00,3500.00,1125.00,1580.10,1053.40,6131.28,9889.78,52669.80,3500.00,9889.78,46280.02
6,10006,"Villanueva, Andrea Mae",2024-05-15,2024-05-15,"HR Manager/HR",52670.00,292.61,20,0.00,52669.80,1500.00,1000.00,1000.00,3500.00,1125.00,1580.10,1053.40,6131.28,9889.78,52669.80,3500.00,9889.78,46280.02
7,10007,"San Jose, Brad ",2024-05-15,2024-05-15,"HR Team Leader/HR",42975.00,238.75,20,0.00,42497.50,1500.00,800.00,800.00,3100.00,1125.00,1289.25,859.50,3877.19,7150.94,42497.50,3100.00,7150.94,38446.56
8,10008,"Romualdez, Alice",2024-05-15,2024-05-15,"HR Rank and File/HR",22500.00,125.00,20,0.00,22375.00,1500.00,500.00,500.00,2500.00,1012.50,675.00,450.00,0.00,2137.50,22375.00,2500.00,2137.50,22737.50
9,10009,"Atienza, Rosie ",2024-05-15,2024-05-15,"HR Rank and File/HR",22500.00,125.00,20,0.00,22375.00,1500.00,500.00,500.00,2500.00,1012.50,675.00,450.00,0.00,2137.50,22375.00,2500.00,2137.50,22737.50
10,10010,"Alvaro, Roderick",2024-05-15,2024-05-15,"Accounting Head/Accounting",52670.00,292.61,20,0.00,52084.58,1500.00,1000.00,1000.00,3500.00,1125.00,1580.10,1053.40,6131.28,9889.78,52084.58,3500.00,9889.78,45694.80
11,10011,"Salcedo, Anthony",2024-05-15,2024-05-15,"Payroll Manager/Payroll",50825.00,282.36,20,0.00,50260.08,1500.00,1000.00,1000.00,3500.00,1125.00,1524.75,1016.50,5702.31,9368.56,50260.08,3500.00,9368.56,44391.52
12,10012,"Lopez, Josie ",2024-05-15,2024-05-15,"Payroll Team Leader/Payroll",38475.00,213.74,20,0.00,38259.46,1500.00,800.00,800.00,3100.00,1125.00,1154.25,769.50,2830.94,5879.69,38259.46,3100.00,5879.69,35479.77
13,10013,"Farala, Martha",2024-05-15,2024-05-15,"Payroll Rank and File/Payroll",24000.00,133.33,20,0.00,23732.74,1500.00,500.00,500.00,2500.00,1080.00,720.00,480.00,81.40,2361.40,23732.74,2500.00,2361.40,23871.34
14,10014,"Martinez, Leila",2024-05-15,2024-05-15,"Payroll Rank and File/Payroll",24000.00,133.33,20,0.00,23866.07,1500.00,500.00,500.00,2500.00,1080.00,720.00,480.00,81.40,2361.40,23866.07,2500.00,2361.40,24004.67
15,10015,"Romualdez, Fredrick ",2024-05-15,2024-05-15,"Account Manager/Accounting",53500.00,297.22,20,594.44,53499.60,1500.00,1000.00,1000.00,3500.00,1125.00,1605.00,1070.00,6324.25,10124.25,53499.60,3500.00,10124.25,46875.35
16,10016,"Mata, Christian",2024-05-15,2024-05-15,"Account Team Leader/Accounting",42975.00,238.75,20,477.50,43213.75,1500.00,800.00,800.00,3100.00,1125.00,1289.25,859.50,3877.19,7150.94,43213.75,3100.00,7150.94,39162.81
17,10017,"De Leon, Selena ",2024-05-15,2024-05-15,"Account Team Leader/Accounting",41850.00,232.50,20,465.00,42082.50,1500.00,800.00,800.00,3100.00,1125.00,1255.50,837.00,3615.63,6833.13,42082.50,3100.00,6833.13,38349.37
18,10018,"San Jose, Allison ",2024-05-15,2024-05-15,"Account Rank and File/Accounting",22500.00,125.00,20,250.00,22625.00,1500.00,500.00,500.00,2500.00,1012.50,675.00,450.00,0.00,2137.50,22625.00,2500.00,2137.50,22987.50
19,10019,"Rosario, Cydney ",2024-05-15,2024-05-15,"Account Rank and File/Accounting",22500.00,125.00,20,125.00,22375.00,1500.00,500.00,500.00,2500.00,1012.50,675.00,450.00,0.00,2137.50,22375.00,2500.00,2137.50,22737.50
20,10020,"Bautista, Mark ",2024-05-15,2024-05-15,"Account Rank and File/Accounting",23250.00,129.17,20,258.34,23508.94,1500.00,500.00,500.00,2500.00,1035.00,697.50,465.00,0.00,2197.50,23508.94,2500.00,2197.50,23811.44
21,10021,"Lazaro, Darlene ",2024-05-15,2024-05-15,"Account Rank and File/Accounting",23250.00,129.17,20,129.17,23250.60,1500.00,500.00,500.00,2500.00,1035.00,697.50,465.00,0.00,2197.50,23250.60,2500.00,2197.50,23553.10
22,10022,"Delos Santos, Kolby ",2024-05-15,2024-05-15,"Account Rank and File/Accounting",24000.00,133.33,20,133.33,23999.40,1500.00,500.00,500.00,2500.00,1080.00,720.00,480.00,81.40,2361.40,23999.40,2500.00,2361.40,24138.00
23,10023,"Santos, Vella ",2024-05-15,2024-05-15,"Account Rank and File/Accounting",22500.00,125.00,20,0.00,22500.00,1500.00,500.00,500.00,2500.00,1012.50,675.00,450.00,0.00,2137.50,22500.00,2500.00,2137.50,22862.50
24,10024,"Del Rosario, Tomas",2024-05-15,2024-05-15,"Account Rank and File/Accounting",22500.00,125.00,20,0.00,22500.00,1500.00,500.00,500.00,2500.00,1012.50,675.00,450.00,0.00,2137.50,22500.00,2500.00,2137.50,22862.50
25,10025,"Tolentino, Jacklyn ",2024-05-15,2024-05-15,"Account Rank and File/Accounting",24000.00,133.33,20,0.00,23999.40,1500.00,500.00,500.00,2500.00,1080.00,720.00,480.00,81.40,2361.40,23999.40,2500.00,2361.40,24138.00
26,10026,"Gutierrez, Percival ",2024-05-15,2024-05-15,"Account Rank and File/Accounting",24750.00,137.50,20,0.00,24612.50,1500.00,500.00,500.00,2500.00,1102.50,742.50,495.00,216.40,2556.40,24612.50,2500.00,2556.40,24556.10
27,10027,"Manalaysay, Garfield ",2024-05-15,2024-05-15,"Account Rank and File/Accounting",24750.00,137.50,20,0.00,24750.00,1500.00,500.00,500.00,2500.00,1102.50,742.50,495.00,216.40,2556.40,24750.00,2500.00,2556.40,24693.60
28,10028,"Villegas, Lizeth ",2024-05-15,2024-05-15,"Account Rank and File/Accounting",24000.00,133.33,20,0.00,23732.74,1500.00,500.00,500.00,2500.00,1080.00,720.00,480.00,81.40,2361.40,23732.74,2500.00,2361.40,23871.34
